Cod_Bairro,Bairro,IDHB2010,IDHB2010Educação,IDHB2010Renda,IDHB2010 Classificação ,População Total,Número de Cor/Raça Amarela,Número de Cor/Raça Branca,Número de Cor/Raça Indígena,Número de Cor/Raça Parda,Número de Cor/Raça Preta,Número de Cor/Raça Sem declaração,RENDA MÉDIA MENSAL ALFABETIZADOS (R$),RENDA MÉDIA MENSAL NÃO ALFABETIZADOS (R$)
230440065058,Engenheiro Luciano Cavalcante,"0,5224","0,9676","0,3757",Baixo,15.543,224,7194,61,7496,568,0,"1579,92","316,75"
230440005014,Estância (Dionísio Torres),"0,8597","0,9990","0,7216",Muito Alto,15.634,91,10013,5,5242,283,0,"2736,16","570,04"
230440005015,Farias Brito,"0,4998","0,9706","0,1904",Baixo,12.063,114,5098,12,6484,355,0,"911,90","391,69"
230440005016,Fátima,"0,6948","0,9980","0,4435",Médio,23.309,259,13257,19,9146,628,0,"1774,64","444,89"
230440005017,Floresta,"0,2238","0,9291","0,0414",Muito Baixo,28.896,279,8685,16,18681,1235,0,"388,37","295,80"
230440060044,Genibau,"0,1386","0,8968","0,0265",Muito Baixo,40.336,801,11840,70,25298,2327,0,"336,13","282,41"
230440005117,Gentilândia,,,,,3.984,20,2153,2,1719,90,0,"1419,29","542,94"
230440070078,Granja Lisboa,"0,1700","0,9079","0,0299",Muito Baixo,52.042,779,13795,95,34758,2615,0,"347,66","286,46"
230440070079,Granja Portugal,"0,1902","0,8947","0,0279",Muito Baixo,39.651,1119,11551,52,24688,2238,3,"339,54","298,86"
230440065059,Guajeru,"0,2888","0,9474","0,1091",Muito Baixo,6.668,115,2405,3,3597,548,0,"628,13","382,76"
230440065060,Guarapes,"0,7678","0,9939","0,9499",Alto,5.266,50,3118,1,2017,80,0,"3543,49","410,64"
230440060045,Henrique Jorge,"0,3408","0,9605","0,0913",Muito Baixo,26.994,422,9842,11,15049,1670,0,"561,24","371,12"
230440075099,Itaóca,"0,3735","0,9585","0,1071",Muito Baixo,12.477,138,4612,19,7301,407,0,"617,30","399,00"
230440075100,Itaperi,"0,3684","0,9696","0,1634",Muito Baixo,22.563,331,9127,15,12360,730,0,"818,81","328,29"
230440005018,Jacarecanga,"0,4482","0,9484","0,1479",Muito Baixo,14.204,180,5036,8,8517,463,0,"771,39","353,20"
