Cear&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Quixel&ocirc;,2311355,quixeloense,JOSE ADIL VIEIRA JUNIOR,605.345,16116,26.81,97.8,0.591,26.88,1022.69811,37344.88892,10482.81,
Quixeramobim,2311405,quixeramobinense,CIRILO ANT&Ocirc;NIO PIMENTA LIMA,3324.987,82455,21.95,96.7,0.642,10.62,177264.12065,180081.10224,14474.59,
Quixer&eacute;,2311504,quixereense,ANT&Ocirc;NIO JOAQUIM GON&Ccedil;ALVES DE OLIVEIRA,613.099,22432,31.69,97.5,0.622,15.21,54896.30529,51231.49738,20554.63,
Reden&ccedil;&atilde;o,2311603,redencionista,DAVID SANTA CRUZ BENEVIDES,247.989,29238,117.24,98.1,0.626,9.07,71514.3984,60338.75437,13216.42,
Reriutaba,2311702,reriutabense,PEDRO HUMBERTO COELHO MARQUES,372.949,18279,50.75,96.7,0.601,8.7,45570.45518,45448.70518,9707.05,
Russas,2311801,russano,S&Aacute;VIO GURGEL NOGUEIRA,1611.091,79550,43.91,97.2,0.674,5.38,163456.78801,151799.99666,13451.37,
Saboeiro,2311900,saboeirense,MARCONDES HERBSTER FERRAZ,1381.274,15757,11.39,97.1,0.575,6.1,38364.08232,33403.24731,9553.00,
Salitre,2311959,salitrense,DORGIVAL PEREIRA FILHO,806.253,16714,19.21,97.3,0.540,14.13,42585.35118,41896.6991,8826.75,
Santana do Acara&uacute;,2312007,santanense-do-acara&uacute;,FRANCISCO DAS CHAGAS MENDES,972.573,32851,30.89,95.4,0.587,27.33,60165.60352,59824.66124,7884.31,
Santana do Cariri,2312106,santanense-do-cariri,SAMUEL CIDADE WERTON,855.165,17726,20.07,97.9,0.612,8.2,57498.64883,50533.47256,8437.24,
Santa Quit&eacute;ria,2312205,quiteriense,JOS&Eacute; BRAGA BARROZO,4262.293,43719,10.04,97.6,0.616,9.63,87598.63375,80916.4089,12171.26,
S&atilde;o Benedito,2312304,beneditense,SAUL LIMA MACIEL,350.847,48354,130.61,98.1,0.611,9.13,107397.28599,92516.11779,12371.40,
S&atilde;o Gon&ccedil;alo do Amarante,2312403,gon&ccedil;alense,MARCELO FERREIRA TELES,842.635,49306,52.60,98.1,0.665,7.26,252306.83358,219614.33442,83473.11,
S&atilde;o Jo&atilde;o do Jaguaribe,2312502,jaguaribense,RAIMUNDO CESAR MORAIS MAIA,279.451,7557,28.17,99.2,0.654,-,21311.30681,18661.53561,13595.79,
S&atilde;o Lu&iacute;s do Curu,2312601,curuense,FRANCISCO CIPRIANO DE ALMEIDA,122.865,13086,100.74,95.4,0.620,-,29335.08881,24687.03039,8962.27,
Senador Pompeu,2312700,pompeuense,ANT&Ocirc;NIO MAUR&Iacute;CIO PINHEIRO JUC&Aacute;,956.882,25418,26.41,96.4,0.619,11.58,58035.9837,52551.18314,12366.24,
Senador S&aacute;,2312809,senadorsaense,JOSE MARTINS BARROS JUNIOR,424.642,7758,16.16,98.2,0.603,9.09,16444.7424,21791.74248,7683.23,
Sobral,2312908,sobralense,IVO FERREIRA GOMES,2068.474,212437,88.67,97.9,0.714,10.62,620503.26479,574656.93699,21343.10,
Solon&oacute;pole,2313005,solonopolense,ANA VLADIA NOGUEIRA PINHEIRO JUC&Aacute;,1535.855,18389,11.50,98.6,0.625,6.41,54727.68971,49746.31073,12957.31,
Tabuleiro do Norte,2313104,tabuleirense,RILDSON RABELO VASCONCELOS,1047.637,32079,33.89,97.4,0.645,14.33,60758.96795,53068.85358,12346.84,
Tamboril,2313203,tamborilense,LUIZ MARCELO MOTA LEITE,2014.543,26199,12.98,97.1,0.580,21.54,73205.88552,68105.22591,9964.35,
Tarrafas,2313252,tarrafense,TERTULIANO CANDIDO MARTINS DE ARAUJO,412.719,8555,19.61,96.8,0.576,9.71,22118.1679,22655.93516,10406.07,
Tau&aacute;,2313302,tauaense,PATR&Iacute;CIA PEQUENO COSTA GOMES DE AGUIAR,4010.618,59259,13.87,97.7,0.633,14.8,136028.13652,135713.29548,11605.35,
Teju&ccedil;uoca,2313351,teju&ccedil;uoquense,JOSE ANTUNIZIO DE BRITO,758.707,19551,22.42,98.3,0.584,29.41,51853.41777,43425.04017,6958.53,
Tiangu&aacute;,2313401,tianguaense,LUIZ MENEZES DE LIMA,909.853,77111,75.80,98,0.657,7.03,152865.84876,148371.08625,21137.06,
Trairi,2313500,trairiense,CARLOS GUSTAVO MONTEIRO MOREIRA,928.725,56653,55.55,98.1,0.606,4.68,109451.09277,107186.91603,14795.09,
Tururu,2313559,tururuense,FRANCISCA HILZETE MALVEIRA BATISTA,201.270,16588,71.23,96.2,0.606,7.91,38075.48124,31969.73697,7430.37,
Ubajara,2313609,ubajarense,REN&Ecirc; DE ALMEIDA VASCONCELOS,423.673,35295,75.50,98.7,0.648,18.15,84777.89878,63907.03794,17903.87,
Umari,2313708,umariense,ALEX SANDRO RUFINO FERREIRA,263.183,7740,28.59,96.5,0.591,-,203.81705,18511.25613,8338.92,
Umirim,2313757,umiriense,FELIPE CARLOS UCH&Ocirc;A SALES RIBEIRO,315.648,19976,59.35,95.6,0.587,14.44,62155.59944,45115.41853,8030.88,
Uruburetama,2313807,uruburetamense,FRANCISCO ALDIR CHAVES DA SILVA,99.400,22223,203.61,95.9,0.639,14.16,46252.58477,42868.59476,12349.85,
Uruoca,2313906,uruoquense,JAN KENNEDY PAIVA AQUINO,697.683,13988,18.49,97.7,0.566,18.52,36175.66262,34549.30811,13874.25,
Varjota,2313955,varjotense,FRANCISCO ELMO BEZERRA MONTE,179.239,18520,98.07,96.6,0.611,7.41,51275.61286,47814.72672,19390.59,
V&aacute;rzea Alegre,2314003,varzea-alegrense,JOS&Eacute; HELDER M&Aacute;XIMO DE CARVALHO,829.976,41078,45.99,97,0.629,10.68,79368.15813,71300.30285,10609.61,
Vi&ccedil;osa do Cear&aacute;,2314102,vi&ccedil;osense,JOSE FIRMINO DE ARRUDA,1310.910,61916,41.90,96.9,0.571,8.14,126024.78879,104188.07011,8262.90,

